Track Number,Album Artist,Song,Duration,Composer,Album,Artist,Plays,Year
4,Switchfoot,More Than Fine,5:37,,Live,Switchfoot,22,2004
11 of 11,Switchfoot,Live It Well (Live in Chicago),5:44,,Live in Chicago - The Looking For America Tour,Switchfoot,4,2016
4 of 11,,Dare You To Move (Live),4:01,,Live In The X Lounge VI,Switchfoot,4,2004
1 of 1,Switchfoot,Live It Well (Live at the Palladium),4:32,Jon Foreman & Tim Foreman,Live It Well (Live at the Palladium) - Single,Switchfoot,3,2018
1 of 7,Switchfoot,Holy Water (Live in Chicago),4:52,,Live Songs from The Looking For America Tour,Switchfoot,4,2016
1 of 20,,LET IT HAPPEN,4:41,,NATIVE TONGUE,Switchfoot,6,2019
2 of 20,,NATIVE TONGUE,4:38,,NATIVE TONGUE,Switchfoot,36,2019
3 of 20,,ALL I NEED,3:08,,NATIVE TONGUE,Switchfoot,54,2019
4 of 20,,VOICES,2:58,,NATIVE TONGUE,Switchfoot,56,2019
5 of 20,,DIG NEW STREAMS,3:45,,NATIVE TONGUE,Switchfoot,4,2019
6 of 20,,JOY INVINCIBLE,3:43,,NATIVE TONGUE,Switchfoot,3,2019
7 of 20,,PRODIGAL SOUL,3:51,,NATIVE TONGUE,Switchfoot,3,2019
8 of 20,,THE HARDEST ART,4:13,,NATIVE TONGUE,Switchfoot,2,2019
9 of 20,,WONDERFUL FEELING,4:06,,NATIVE TONGUE,Switchfoot,1,2019
10 of 20,,TAKE MY FIRE,3:45,,NATIVE TONGUE,Switchfoot,,2019
11 of 20,,THE STRENGTH TO LET GO,4:19,,NATIVE TONGUE,Switchfoot,1,2019
12 of 20,,OXYGEN,4:15,,NATIVE TONGUE,Switchfoot,1,2019
13 of 20,,WE'RE GONNA BE ALRIGHT,2:55,,NATIVE TONGUE,Switchfoot,1,2019
14 of 20,,YOU'RE THE ONE I WANT,2:06,,NATIVE TONGUE,Switchfoot,1,2019
15 of 20,,ALL I NEED (West Coast Edition),3:23,,NATIVE TONGUE,Switchfoot,3,2019
16 of 20,,LET'S GO HIGHER,4:59,,NATIVE TONGUE,Switchfoot,9,2019
17 of 20,,NATIVE TONGUE (Acoustic),4:34,,NATIVE TONGUE,Switchfoot,8,2019
18 of 20,,WHITE LIES,4:09,,NATIVE TONGUE,Switchfoot,,2019
19 of 20,,DON'T WANT YOUR MONEY,3:10,,NATIVE TONGUE,Switchfoot,,2019
20 of 20,,ALL I NEED (Acoustic),3:10,,NATIVE TONGUE,Switchfoot,,2019
1,Switchfoot,New Way To Be Human,3:36,Douglas Kaine Mckelvey,New Way To Be Human,Switchfoot,24,1999
2,Switchfoot,Incomplete,4:13,Jonathan Foreman,New Way To Be Human,Switchfoot,37,1999
3,Switchfoot,Sooner Or Later (Soren's Song),3:58,Jonathan Foreman,New Way To Be Human,Switchfoot,18,1999
4,Switchfoot,Company Car,3:12,Jonathan Foreman,New Way To Be Human,Switchfoot,17,1999
5,Switchfoot,Let That Be Enough,2:38,Jonathan Foreman,New Way To Be Human,Switchfoot,15,1999
6,Switchfoot,Something More (Augustine's Confession),3:59,Douglas Kaine Mckelvey,New Way To Be Human,Switchfoot,16,1999
7,Switchfoot,Only Hope,4:13,Jonathan Foreman,New Way To Be Human,Switchfoot,34,1999
8,Switchfoot,Amy's Song,4:30,Jonathan Foreman,New Way To Be Human,Switchfoot,18,1999
9,Switchfoot,I Turn Everything Over,3:21,Jonathan Foreman,New Way To Be Human,Switchfoot,17,1999
10,Switchfoot,Under The Floor,3:55,Jonathan Foreman,New Way To Be Human,Switchfoot,14,1999
1 of 13,Switchfoot,Lonely Nation,3:45,,Nothing Is Sound,Switchfoot,36,2005
2 of 13,Switchfoot,Stars,4:20,,Nothing Is Sound,Switchfoot,108,2005
3 of 13,Switchfoot,Happy Is A Yuppie Word,4:51,,Nothing Is Sound,Switchfoot,46,2005
4 of 13,Switchfoot,The Shadow Proves The Sunshine,5:04,,Nothing Is Sound,Switchfoot,31,2005
5 of 13,Switchfoot,Easier Than Love,4:29,,Nothing Is Sound,Switchfoot,37,2005
